"HUD ID Number","Project Name","Project Address","Project City","Project State","Project ZIP Code","County","Total Number of Units","Total Low-Income Units","Compliance Monitoring Status"
"CAA00000133","MACARTHUR PARK APTS PHASE B","676 S ALVARADO ST","LOS ANGELES","CA","90057","Los Angeles County","82","81","Not Indicated"
"CAA19870090","HDR FUND APTS I","1040-1042 W. 43RD ST.; 1733 W. 58TH ST; 2375 SCARFF ST; 2747 NEWELL","LOS ANGELES","CA","","Los Angeles County","76","76","Not Indicated"
"CAA19879241","9414 S CENTRAL AVE","9414 S CENTRAL AVE","LOS ANGELES","CA","90002","Los Angeles County","3","3","Not Indicated"
"CAA19879242","9418 S CENTRAL AVE","9418 S CENTRAL AVE","LOS ANGELES","CA","90002","Los Angeles County","3","3","Not Indicated"
"CAA19879243","NEWEHALL TERRACE","24377 NEWHALL AVE","SANTA CLARITA","CA","91321","Los Angeles County","66","66","Not Indicated"
"CAA19879245","SUNOL TERRACE","159 S SUNOL DR","LOS ANGELES","CA","90063","Los Angeles County","14","14","Not Indicated"
"CAA19880085","ARMINTA NORTH & SOUTH","11038 ARMINTA ST","SUN VALLEY","CA","91352","Los Angeles County","60","12","Not Indicated"
"CAA19880185","FLAMINGO GARDEN SENIOR","3711 COGSWELL RD","EL MONTE","CA","91732","Los Angeles County","58","58","Not Indicated"
"CAA19880215","HDR FUND APTS II","1040-1042 W. 43RD ST.; 1733 W. 58TH ST; 2375 SCARFF ST; 2747 NEWELL","LOS ANGELES","CA","","Los Angeles County","49","49","Not Indicated"
"CAA19880265","MIDCITIES","835 S OXFORD AVE","LOS ANGELES","CA","90005","Los Angeles County","59","59","Not Indicated"
"CAA19880385","VIRGINIA AVENUE","5623 VIRGINIA AVE","LOS ANGELES","CA","90038","Los Angeles County","28","20","Not Indicated"
"CAA19889687","NORMANDIE APTS","1516 N NORMANDIE AVE","LOS ANGELES","CA","90027","Los Angeles County","33","40","Not Indicated"
"CAA19889688","WILLOWBROOK (LOS ANGELES)","1653 E 117TH ST","LOS ANGELES","CA","90059","Los Angeles County","2","2","Not Indicated"
"CAA19890005","1513 W PICO BLVD","1513 W PICO BLVD","LOS ANGELES","CA","90015","Los Angeles County","32","32","Not Indicated"
"CAA19890110","FLORES APTS","1507 W PICO BLVD","LOS ANGELES","CA","90015","Los Angeles County","26","26","Not Indicated"
"CAA19890200","MARENGO STREET APTS","2649 MARENGO ST","LOS ANGELES","CA","90033","Los Angeles County","24","24","Not Indicated"
"CAA19890230","PERSHING HOTEL","502 S MAIN ST","LOS ANGELES","CA","90013","Los Angeles County","65","65","Not Indicated"
"CAA19890310","VILLA PARKE HOMES","422 N RAYMOND AVE","PASADENA","CA","91103","Los Angeles County","9","9","Not Indicated"
"CAA19900055","SUNFLOWER NORTON APTS","1242 S NORTON AVE","LOS ANGELES","CA","90019","Los Angeles County","10","10","Not Indicated"
"CAA19900066","2020 2030 CLOVERFIELD 2030","2020 CLOVERFIELD BLVD","SANTA MONICA","CA","90404","Los Angeles County","32","32","Not Indicated"
"CAA19900078","CASA GUADALUPE","5127 HUNTINGTON DR N","LOS ANGELES","CA","90032","Los Angeles County","22","22","Not Indicated"
"CAA19900079","CENTENNIAL PLACE","235 E HOLLY ST","PASADENA","CA","91101","Los Angeles County","144","144","Not Indicated"
"CAA19900085","DUANE HEIGHTS","2271 DUANE ST","LOS ANGELES","CA","90039","Los Angeles County","14","14","Not Indicated"
"CAA19900090","GRANDVIEW APTS","428 S GRAND VIEW ST","LOS ANGELES","CA","90057","Los Angeles County","27","27","Not Indicated"
"CAA19900093","HARPER AVENUE PARTNERS","1276 N HARPER AVE","WEST HOLLYWOOD","CA","90046","Los Angeles County","17","17","Not Indicated"
"CAA19900100","KINGSWOOD APTS","5173 HOLLYWOOD BLVD","LOS ANGELES","CA","90027","Los Angeles County","43","43","Not Indicated"
"CAA19909813","1723-1725 W 9TH ST","1723 W NINTH ST","LOS ANGELES","CA","90015","Los Angeles County","63","63","Not Indicated"
"CAA19909819","3715 W FIRST ST","3715 W FIRST ST","LOS ANGELES","CA","90004","Los Angeles County","55","55","Not Indicated"
"CAA19909821","728 S BERENDO ST","728 S BERENDO ST","LOS ANGELES","CA","90005","Los Angeles County","40","40","Not Indicated"
"CAA19909825","ALOHA APTS","6731 LELAND WAY","LOS ANGELES","CA","90028","Los Angeles County","74","74","Not Indicated"
"CAA19909826","APPLETON APTS","738 S NEW HAMPSHIRE AVE","LOS ANGELES","CA","90005","Los Angeles County","48","48","Not Indicated"
"CAA19909829","NEW HAMPSHIRE APTS","716 S BERENDO ST","LOS ANGELES","CA","90005","Los Angeles County","70","70","Not Indicated"
"CAA19909836","S NORTON AVENUE","1121 S NORTON AVE","LOS ANGELES","CA","90019","Los Angeles County","20","20","Not Indicated"
"CAA19910030","GREENVIEW VILLAGE APTS","825 GREEN AVE","LOS ANGELES","CA","90017","Los Angeles County","48","48","Not Indicated"
"CAA19910075","SHAHEEN/SHEHAB","8209 S BROADWAY","LOS ANGELES","CA","90003","Los Angeles County","10","10","Not Indicated"
"CAA19910125","GILBERT LINDSAY MANOR","601 W 40TH PL","LOS ANGELES","CA","90037","Los Angeles County","137","137","Not Indicated"
"CAA19910141","PRENTICE APTS","1014 E SEVENTH ST","LOS ANGELES","CA","90021","Los Angeles County","45","45","Not Indicated"
