"HUD ID Number","Project Name","Project Address","Project City","Project State","Project ZIP Code","County","Project's Latitude","Project's Longitude","place2020","Total Number of Units","Total Low-Income Units","Placed-In-Service Year","Credit Allocation Year","For-profit/non-profit Sponsor","Credit Type","Home Investment Partnership Funds","Community Development Block Grant (CDBG) Funds","FHA-insured Loan","Part of a HOPE VI Development","Dollar Amount of HOME Funds","Dollar Amount of CDBG Funds","Dollar Amount of HOPEVI Funds","Annual LIHTC Allocation Amount"
"CAA00000133","MACARTHUR PARK APTS PHASE B","676 S ALVARADO ST","LOS ANGELES","CA","90057","Los Angeles County","34.057045","-118.276216","44000","82","81","8888","2013","Status Not Available","Information Not Available","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","",""
"CAA19870090","HDR FUND APTS I","1040-1042 W. 43RD ST.; 1733 W. 58TH ST; 2375 SCARFF ST; 2747 NEWELL","LOS ANGELES","CA","","Los Angeles County","34.005309","-118.292416","44000","76","76","1987","1987","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","91311"
"CAA19879241","9414 S CENTRAL AVE","9414 S CENTRAL AVE","LOS ANGELES","CA","90002","Los Angeles County","33.951003","-118.254455","44000","3","3","1987","1987","Status Not Available","Information Not Available","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","",""
"CAA19879242","9418 S CENTRAL AVE","9418 S CENTRAL AVE","LOS ANGELES","CA","90002","Los Angeles County","33.950964","-118.254416","44000","3","3","1987","1987","Status Not Available","Information Not Available","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","",""
"CAA19879243","NEWEHALL TERRACE","24377 NEWHALL AVE","SANTA CLARITA","CA","91321","Los Angeles County","34.3786","-118.531778","69088","66","66","1987","1987","Status Not Available","Information Not Available","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","",""
"CAA19879245","SUNOL TERRACE","159 S SUNOL DR","LOS ANGELES","CA","90063","Los Angeles County","34.034688","-118.178811","20802","14","14","1987","1987","Status Not Available","Information Not Available","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","",""
"CAA19880085","ARMINTA NORTH & SOUTH","11038 ARMINTA ST","SUN VALLEY","CA","91352","Los Angeles County","34.213715","-118.371467","44000","60","12","1988","1988","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","35795"
"CAA19880185","FLAMINGO GARDEN SENIOR","3711 COGSWELL RD","EL MONTE","CA","91732","Los Angeles County","34.071281","-118.014972","22230","58","58","1988","1988","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","214556"
"CAA19880215","HDR FUND APTS II","1040-1042 W. 43RD ST.; 1733 W. 58TH ST; 2375 SCARFF ST; 2747 NEWELL","LOS ANGELES","CA","","Los Angeles County","34.005309","-118.292416","44000","49","49","1988","1987","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","54665"
"CAA19880265","MIDCITIES","835 S OXFORD AVE","LOS ANGELES","CA","90005","Los Angeles County","34.056595","-118.308021","44000","59","59","1988","1987","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","62158"
"CAA19880385","VIRGINIA AVENUE","5623 VIRGINIA AVE","LOS ANGELES","CA","90038","Los Angeles County","34.091947","-118.311741","44000","28","20","1988","1988","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","25827"
"CAA19889687","NORMANDIE APTS","1516 N NORMANDIE AVE","LOS ANGELES","CA","90027","Los Angeles County","34.098665","-118.300323","44000","33","40","1988","1988","Status Not Available","Information Not Available","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","",""
"CAA19889688","WILLOWBROOK (LOS ANGELES)","1653 E 117TH ST","LOS ANGELES","CA","90059","Los Angeles County","33.927891","-118.244444","85614","2","2","1988","1988","Status Not Available","Information Not Available","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","",""
"CAA19890005","1513 W PICO BLVD","1513 W PICO BLVD","LOS ANGELES","CA","90015","Los Angeles County","34.04423","-118.275605","44000","32","32","1989","1988","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","29634"
"CAA19890110","FLORES APTS","1507 W PICO BLVD","LOS ANGELES","CA","90015","Los Angeles County","34.044148","-118.275423","44000","26","26","1989","1988","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","26721"
"CAA19890200","MARENGO STREET APTS","2649 MARENGO ST","LOS ANGELES","CA","90033","Los Angeles County","34.054331","-118.198748","44000","24","24","1989","1989","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","155298"
"CAA19890230","PERSHING HOTEL","502 S MAIN ST","LOS ANGELES","CA","90013","Los Angeles County","34.046521","-118.248445","44000","65","65","1989","1989","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","274211"
"CAA19890310","VILLA PARKE HOMES","422 N RAYMOND AVE","PASADENA","CA","91103","Los Angeles County","34.153184","-118.148745","56000","9","9","1989","1989","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","89309"
"CAA19900055","SUNFLOWER NORTON APTS","1242 S NORTON AVE","LOS ANGELES","CA","90019","Los Angeles County","34.048285","-118.323303","44000","10","10","1990","1990","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","108490"
"CAA19900066","2020 2030 CLOVERFIELD 2030","2020 CLOVERFIELD BLVD","SANTA MONICA","CA","90404","Los Angeles County","34.022399","-118.46705","70000","32","32","1990","1989","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","65014"
"CAA19900078","CASA GUADALUPE","5127 HUNTINGTON DR N","LOS ANGELES","CA","90032","Los Angeles County","34.090012","-118.169879","44000","22","22","1990","1989","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","70000"
"CAA19900079","CENTENNIAL PLACE","235 E HOLLY ST","PASADENA","CA","91101","Los Angeles County","34.147811","-118.145888","56000","144","144","1990","1989","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","632256"
"CAA19900085","DUANE HEIGHTS","2271 DUANE ST","LOS ANGELES","CA","90039","Los Angeles County","34.091023","-118.261239","44000","14","14","1990","1989","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","54968"
"CAA19900090","GRANDVIEW APTS","428 S GRAND VIEW ST","LOS ANGELES","CA","90057","Los Angeles County","34.061998","-118.275733","44000","27","27","1990","1988","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","251717"
"CAA19900093","HARPER AVENUE PARTNERS","1276 N HARPER AVE","WEST HOLLYWOOD","CA","90046","Los Angeles County","34.093669","-118.368683","84410","17","17","1990","1989","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","122043"
"CAA19900100","KINGSWOOD APTS","5173 HOLLYWOOD BLVD","LOS ANGELES","CA","90027","Los Angeles County","34.101912","-118.302687","44000","43","43","1990","1988","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","303872"
"CAA19909813","1723-1725 W 9TH ST","1723 W NINTH ST","LOS ANGELES","CA","90015","Los Angeles County","34.051656","-118.274961","44000","63","63","1990","1988","Status Not Available","Information Not Available","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","",""
"CAA19909819","3715 W FIRST ST","3715 W FIRST ST","LOS ANGELES","CA","90004","Los Angeles County","34.072874","-118.293836","44000","55","55","1990","1988","Status Not Available","Information Not Available","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","",""
"CAA19909821","728 S BERENDO ST","728 S BERENDO ST","LOS ANGELES","CA","90005","Los Angeles County","34.059189","-118.293955","44000","40","40","1990","1988","Status Not Available","Information Not Available","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","",""
"CAA19909825","ALOHA APTS","6731 LELAND WAY","LOS ANGELES","CA","90028","Los Angeles County","34.096804","-118.337226","44000","74","74","1990","1988","Status Not Available","Information Not Available","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","",""
"CAA19909826","APPLETON APTS","738 S NEW HAMPSHIRE AVE","LOS ANGELES","CA","90005","Los Angeles County","34.058954","-118.292694","44000","48","48","1990","1988","Status Not Available","Information Not Available","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","",""
"CAA19909829","NEW HAMPSHIRE APTS","716 S BERENDO ST","LOS ANGELES","CA","90005","Los Angeles County","34.059423","-118.293957","44000","70","70","1990","1988","Status Not Available","Information Not Available","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","",""
"CAA19909836","S NORTON AVENUE","1121 S NORTON AVE","LOS ANGELES","CA","90019","Los Angeles County","34.050925","-118.322393","44000","20","20","1990","1988","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","15388"
"CAA19910030","GREENVIEW VILLAGE APTS","825 GREEN AVE","LOS ANGELES","CA","90017","Los Angeles County","34.051238","-118.271591","44000","48","48","1991","1991","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","492211"
"CAA19910075","SHAHEEN/SHEHAB","8209 S BROADWAY","LOS ANGELES","CA","90003","Los Angeles County","33.964988","-118.278487","44000","10","10","1991","1991","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","75397"
"CAA19910125","GILBERT LINDSAY MANOR","601 W 40TH PL","LOS ANGELES","CA","90037","Los Angeles County","34.010706","-118.284474","44000","137","137","1991","1989","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","1435355"
"CAA19910141","PRENTICE APTS","1014 E SEVENTH ST","LOS ANGELES","CA","90021","Los Angeles County","34.038398","-118.24372","44000","45","45","1991","1989","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","211495"
"CAA19910144","SAN PEDRO FIRM BUILDING","112 JUDGE JOHN AISO ST","LOS ANGELES","CA","90012","Los Angeles County","34.050611","-118.240428","44000","42","42","1991","1989","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","237573"
"CAA19910154","WARD VILLAS","1177 W ADAMS BLVD","LOS ANGELES","CA","90007","Los Angeles County","34.032551","-118.285494","44000","120","120","1991","1989","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","1026270"
"CAA19920030","CASA ESPERANZA","206 E 23RD ST","LOS ANGELES","CA","90011","Los Angeles County","34.026564","-118.265877","44000","10","10","1992","1990","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","101301"
"CAA19920060","CRESCENT HOTEL","617 E FIFTH ST","LOS ANGELES","CA","90013","Los Angeles County","34.043561","-118.242516","44000","55","55","1992","1990","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","367446"
"CAA19920080","DUNNING APTS","5552 CARLTON WAY","LOS ANGELES","CA","90028","Los Angeles County","34.100348","-118.310924","44000","26","24","1992","1990","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","295599"
"CAA19920105","HARMONY GATE","5220 HARMONY AVE","NORTH HOLLYWOOD","CA","91601","Los Angeles County","34.165563","-118.366247","44000","70","70","1992","1990","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","973498"
"CAA19920110","HARPER COMMUNITY APTS","1260 N HARPER AVE","WEST HOLLYWOOD","CA","90046","Los Angeles County","34.093269","-118.368682","84410","22","22","1992","1990","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","209517"
"CAA19920155","LEONIDE APTS","512 S MAIN ST","LOS ANGELES","CA","90013","Los Angeles County","34.046258","-118.248702","44000","66","66","1992","1991","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","304746"
"CAA19920175","OSAGE APTS","11128 S OSAGE AVE","LENNOX","CA","90304","Los Angeles County","33.933788","-118.34589","41180","21","21","1992","1990","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","199121"
"CAA19920180","PACIFIC COURT APTS","250 PACIFIC AVE","LONG BEACH","CA","90802","Los Angeles County","33.769923","-118.193454","43000","142","29","1992","1993","For-Profit Sponsor","30% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","",""
"CAA19920185","PALMER HOUSE","555 E PALMER AVE","GLENDALE","CA","91205","Los Angeles County","34.132812","-118.248508","30000","21","21","1992","1990","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","206704"
"CAA19920205","ROBERTA STEVENS VILLAS","1035 E 27TH ST","LOS ANGELES","CA","90011","Los Angeles County","34.018078","-118.255693","44000","40","40","1992","1990","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","426368"
"CAA19920245","SIMONE HOTEL","520 SAN JULIAN ST","LOS ANGELES","CA","90013","Los Angeles County","34.043941","-118.245151","44000","123","123","1992","1990","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","612446"
"CAA19920250","ST MARK'S HOTEL","611 E FIFTH ST","LOS ANGELES","CA","90013","Los Angeles County","34.04359","-118.242561","44000","91","91","1992","1990","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","452514"
"CAA19920285","HART HOTEL","508 E FOURTH ST","LOS ANGELES","CA","90013","Los Angeles County","34.044733","-118.24157","44000","39","39","1992","1990","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","199478"
"CAA19920290","LAS AMERICAS HOTEL","1205 E SIXTH ST","LOS ANGELES","CA","90021","Los Angeles County","34.038306","-118.238048","44000","60","60","1992","1990","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","329786"
"CAA19920305","THE SANBORN HOTEL","526 S MAIN ST","LOS ANGELES","CA","90013","Los Angeles County","34.045956","-118.248998","44000","46","46","1992","1991","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","205077"
